form,lemma,POS,morph
celeres,celer,ADJqua,Case=Acc|Numb=Plur|Gend=MascFem|Deg=Pos
decet,decet,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
esse,sum1,VER,Mood=Inf|Tense=Pres|Voice=Act
ministros,minister1,NOMcom,Case=Acc|Numb=Plur
”,”,PUNC,MORPH=empty
52,3,ADJcar,MORPH=empty
Interea,interea,ADV,Deg=Pos
fecunda,fecundus,ADJqua,Case=Nom|Numb=Sing|Gend=Fem|Deg=Pos
parens,parens1,NOMcom,Case=Nom|Numb=Sing
iam,iam,ADV,Deg=Pos
crine,crinis,NOMcom,Case=Abl|Numb=Sing
soluto,soluo,VER,Case=Abl|Numb=Sing|Gend=MascNeut
stabat,sto,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
et,et2,CONcoo,MORPH=empty
hortanti,hortor,VER,Case=Dat|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Dep
similis,similis,ADJqua,Case=Nom|Numb=Sing|Gend=MascFem|Deg=Pos
iam,iam,ADV,Deg=Pos
pectore,pectus,NOMcom,Case=Abl|Numb=Sing
nudo,nudus,ADJqua,Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
ubera,uber1,NOMcom,Case=Acc|Numb=Plur
protendens,protendo,VER,Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
natorum,natus1,NOMcom,Case=Gen|Numb=Plur
alimenta,alimentum,NOMcom,Case=Acc|Numb=Plur
suorum,sui2,PROpos.ref,Case=Gen|Numb=Plur|Gend=MascNeut
55,3,ADJcar,MORPH=empty
non,non,ADVneg,MORPH=empty
confusa,confusus,ADJqua,Case=Acc|Numb=Plur|Gend=Neut|Deg=Pos
aperit,aperio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
natumque,natus,NOMcom,Case=Acc|Numb=Sing|Gend=MascNeut
{natumque},que,CON,MORPH=empty
ut,ut4,CONsub,MORPH=empty
vidit,uideo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
ad,ad2,PRE,MORPH=empty
ignem,ignis,NOMcom,Case=Acc|Numb=Sing
constantique,constans,ADJqua,Case=Abl|Numb=Sing|Gend=Com|Deg=Pos
{constantique},que,CON,MORPH=empty
gradu,gradus,NOMcom,Case=Abl|Numb=Sing
fortem,fortis,ADJqua,Case=Acc|Numb=Sing|Gend=MascFem|Deg=Pos
procedere,procedo1,VER,Mood=Inf|Tense=Pres|Voice=Act
dixit,dico2,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
”,”,PUNC,MORPH=empty
Tu,tu,PROper,Case=Voc|Numb=Sing
mea,meus,PROpos,Case=Voc|Numb=Sing|Gend=Fem
progenies,progenies,NOMcom,Case=Voc|Numb=Sing
tu,tu,PROper,Case=Nom|Numb=Sing
primus,primus,ADJord,Case=Nom|Numb=Sing|Gend=Masc|Deg=Sup
respice,respicio,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
matrem,mater,NOMcom,Case=Acc|Numb=Sing
